#Total No. of Collocate Types: 149
#Total No. of Collocate Tokens: 1017
1	72	41	31	1.88187	и
2	50	40	10	2.29548	ну
3	48	20	28	1.34637	я
4	47	18	29	3.42757	так
5	44	9	35	3.00325	этот
6	33	9	24	1.64711	это
7	33	21	12	1.29897	а
8	32	16	16	1.11086	вот
9	28	10	18	2.03155	как
10	28	25	3	1.49359	да
11	21	13	8	0.96528	что
12	18	0	18	0.19975	в
13	17	7	10	2.22203	такой
14	17	15	2	0.21985	быть
15	16	4	12	1.50398	там
16	16	7	9	0.96271	мы
17	15	3	12	1.23658	он
18	15	3	12	0.88902	на
19	14	5	9	1.95063	ээ
20	13	1	12	1.07562	вы
21	12	9	3	1.89489	знать
22	11	0	11	0.61148	у
23	11	8	3	1.44547	говорить
24	11	3	8	1.38407	все
25	10	6	4	2.11728	сказать
26	9	2	7	2.30449	тут
27	9	1	8	1.04290	они
28	9	2	7	2.33968	если
29	8	2	6	2.86575	щас
30	8	2	6	0.86575	она
31	7	0	7	0.16721	с
32	7	2	5	2.01318	здесь
33	6	2	4	0.46521	ты
34	6	5	1	-0.49415	то
35	6	1	5	-1.19776	не
36	6	2	4	1.40806	мочь
37	6	2	4	1.98604	кто
38	6	3	3	1.70225	еще
39	5	1	4	3.92464	це
40	5	2	3	0.65162	уже
41	5	3	2	1.85425	только
42	5	1	4	1.99864	сейчас
43	5	4	1	2.18767	раз
44	5	1	4	3.43921	как-то
45	4	1	3	1.28078	э
46	4	2	2	0.65162	человек
47	4	3	1	2.80916	смотреть
48	4	0	4	1.33968	один
49	4	2	2	0.34973	нрзб
50	4	4	0	1.13456	нет
51	4	0	4	1.89489	мм
52	4	3	1	0.79536	который
53	4	1	3	1.48723	какой
54	4	0	4	0.78168	к
55	4	0	4	1.08334	за
56	4	4	0	1.53232	жить
57	4	4	0	2.60271	дом
58	4	1	3	2.11728	даже
59	4	3	1	1.16975	аа
60	3	0	3	0.27439	эээ
61	3	2	1	2.14037	сидеть
62	3	3	0	0.73701	себя
63	3	1	2	1.31320	самый
64	3	2	1	2.77264	ребята
65	3	1	2	3.77264	пруд
66	3	2	1	1.77264	почему
67	3	3	0	1.39412	потом
68	3	1	2	5.09456	одновременный
69	3	2	1	4.50960	одновременно
70	3	0	3	1.47985	о
71	3	2	1	3.92464	начаться
72	3	0	3	3.18767	например
73	3	2	1	1.36664	надо
74	3	1	2	2.00710	можно
75	3	1	2	0.42214	когда
76	3	0	3	0.86575	какой-то
77	3	0	3	0.92464	из
78	3	1	2	1.53998	идти
79	3	1	2	2.05017	значить
80	3	1	2	4.09456	ее
81	3	2	1	2.00710	думать
82	2	2	0	4.18767	штука
83	2	2	0	4.92464	школьник
84	2	1	1	1.38032	чтобы
85	2	2	0	2.42214	цена
86	2	1	1	1.26167	хотеть
87	2	2	0	0.60271	ходить
88	2	1	1	1.80916	тогда
89	2	2	0	4.18767	технология
90	2	2	0	2.50960	теперь
91	2	2	0	5.50960	темно
92	2	1	1	3.05017	сын
93	2	1	1	3.05017	собирать
94	2	2	0	3.05017	снег
95	2	1	1	2.11728	слушать
96	2	0	2	1.11728	сегодня
97	2	2	0	1.65162	рассказать
98	2	2	0	4.18767	район
99	2	2	0	4.50960	пустить
100	2	1	1	3.50960	простой
101	2	2	0	3.92464	происходить
102	2	2	0	2.50960	правильно
103	2	1	1	1.50960	поэтому
104	2	0	2	0.00181	потому
105	2	1	1	0.72824	понимать
106	2	2	0	4.50960	покупать
107	2	2	0	3.92464	поглядеть
108	2	0	2	-0.57786	по
109	2	2	0	4.50960	платок
110	2	1	1	4.50960	педагог
111	2	0	2	3.18767	оттуда
112	2	2	0	2.05017	отец
113	2	0	2	1.55541	опять
114	2	1	1	6.50960	обыск
115	2	0	2	-0.28481	но
116	2	1	1	2.11728	начать
117	2	2	0	2.60271	называться
118	2	1	1	1.30015	наверное
119	2	0	2	0.22420	мой
120	2	1	1	2.11728	мама
121	2	2	0	2.70225	любить
122	2	2	0	2.60271	купить
123	2	2	0	4.92464	кормить
124	2	0	2	3.18767	книжка
125	2	2	0	3.05017	кавказ
126	2	0	2	2.33968	интересный
127	2	1	1	2.50960	именно
128	2	2	0	0.44351	или
129	2	2	0	2.80916	здание
130	2	1	1	3.92464	зарабатывать
131	2	2	0	1.33968	жизнь
132	2	2	0	3.33968	дорога
133	2	2	0	1.46521	дело
134	2	2	0	0.89489	делать
135	2	0	2	0.67671	два
136	2	1	1	1.75471	дать
137	2	0	2	2.50960	далеко
138	2	2	0	2.80916	дак
139	2	2	0	-0.81233	год
140	2	2	0	1.92464	где-то
141	2	0	2	1.18767	вообще
142	2	1	1	2.42214	вон
143	2	0	2	-0.81233	весь
144	2	2	0	5.50960	вводить
145	2	2	0	-0.27176	бы
146	2	0	2	3.70225	буквально
147	2	2	0	2.50960	брать
148	2	1	1	3.33968	болеть
149	2	0	2	1.70225	баба
